gene	transcript	entrez	ensemblGene	ensemblTranscript	chrom	start	end	strand
ASIC2	NM_183377.2	40	ENSG00000108684.15	ENST00000225823.7	chr17	33013087	33293295	-
ASIC1	NM_001095.4	41	ENSG00000110881.12	ENST00000447966.7	chr12	50057596	50083611	+
ACHE	NM_000665.5	43	ENSG00000087085.16	ENST00000241069.11	chr7	100889994	100895888	-
ACLY	NM_001096.3	47	ENSG00000131473.17	ENST00000352035.7	chr17	41866918	41918951	-
ACO1	NM_002197.3	48	ENSG00000122729.19	ENST00000309951.8	chr9	32384643	32454769	+
ACR	NM_001097.3	49	ENSG00000100312.11	ENST00000216139.10	chr22	50738204	50745339	+
ACO2	NM_001098.3	50	ENSG00000100412.17	ENST00000216254.9	chr22	41469117	41528974	+
ACOX1	NM_004035.7	51	ENSG00000161533.12	ENST00000293217.10	chr17	75941507	75979166	-
ACP1	NM_004300.4	52	ENSG00000143727.16	ENST00000272065.10	chr2	264947	278283	+
ACP2	NM_001610.4	53	ENSG00000134575.13	ENST00000672073.1	chr11	47239302	47248814	-
ACP5	NM_001611.5	54	ENSG00000102575.14	ENST00000648477.1	chr19	11574660	11577645	-
ACP3	NM_001099.5	55	ENSG00000014257.17	ENST00000336375.10	chr3	132317407	132358841	+
ACRV1	NM_001612.6	56	ENSG00000134940.14	ENST00000533904.6	chr11	125671522	125680847	-
ACTA1	NM_001100.4	58	ENSG00000143632.15	ENST00000366684.7	chr1	229431245	229434094	-
ACTA2	NM_001613.4	59	ENSG00000107796.14	ENST00000224784.10	chr10	88935074	88952773	-
ACTB	NM_001101.5	60	ENSG00000075624.17	ENST00000646664.1	chr7	5527148	5530601	-
ACTC1	NM_005159.5	70	ENSG00000159251.10	ENST00000290378.6	chr15	34790230	34795549	-
ACTG1	NM_001614.5	71	ENSG00000184009.13	ENST00000573283.7	chr17	81509971	81512799	-
ACTG2	NM_001615.4	72	ENSG00000163017.14	ENST00000345517.8	chr2	73893008	73919865	+
ACTN4	NM_004924.6	81	ENSG00000130402.14	ENST00000252699.7	chr19	38647649	38731589	+
ACTL6A	NM_004301.5	86	ENSG00000136518.17	ENST00000429709.7	chr3	179562926	179588407	+
ACTN1	NM_001130004.2	87	ENSG00000072110.17	ENST00000394419.9	chr14	68874128	68979302	-
ACTN2	NM_001103.4	88	ENSG00000077522.15	ENST00000366578.6	chr1	236686499	236764631	+
ACTN3	NM_001104.4	89	ENSG00000248746.6	ENST00000513398.2	chr11	66546903	66563334	+
ACVR1	NM_001111067.4	90	ENSG00000115170.16	ENST00000434821.7	chr2	157736446	157876330	-
ACVR1B	NM_004302.5	91	ENSG00000135503.13	ENST00000257963.9	chr12	51951699	51997078	+
ACVR2A	NM_001616.5	92	ENSG00000121989.15	ENST00000241416.12	chr2	147845029	147930822	+
ACVR2B	NM_001106.4	93	ENSG00000114739.14	ENST00000352511.5	chr3	38453890	38493142	+
ACVRL1	NM_000020.3	94	ENSG00000139567.14	ENST00000388922.9	chr12	51907504	51923361	+
ACY1	NM_000666.3	95	ENSG00000243989.9	ENST00000636358.2	chr3	51983535	51989197	+
ACYP1	NM_001107.5	97	ENSG00000119640.9	ENST00000238618.8	chr14	75053243	75064024	-
ACYP2	NM_138448.4	98	ENSG00000170634.13	ENST00000394666.9	chr2	54115615	54305300	+
ADA	NM_000022.4	100	ENSG00000196839.14	ENST00000372874.9	chr20	44619522	44651699	-
ADAM8	NM_001109.5	101	ENSG00000151651.16	ENST00000445355.8	chr10	133262423	133276868	-
ADAM10	NM_001110.4	102	ENSG00000137845.15	ENST00000260408.8	chr15	58588809	58749707	-
ADAR	NM_001111.5	103	ENSG00000160710.19	ENST00000368474.9	chr1	154582057	154608186	-
ADARB1	NM_001112.4	104	ENSG00000197381.18	ENST00000348831.9	chr21	45074580	45226560	+
ADARB2	NM_018702.4	105	ENSG00000185736.16	ENST00000381312.6	chr10	1177313	1737525	-
ADCY1	NM_021116.4	107	ENSG00000164742.16	ENST00000297323.12	chr7	45574368	45723116	+
ADCY2	NM_020546.3	108	ENSG00000078295.17	ENST00000338316.9	chr5	7396138	7830081	+
ADCY3	NM_004036.5	109	ENSG00000138031.15	ENST00000679454.1	chr2	24819169	24920237	-
ADCY5	NM_183357.3	111	ENSG00000173175.17	ENST00000462833.6	chr3	123282296	123449090	-
ADCY6	NM_015270.5	112	ENSG00000174233.12	ENST00000357869.8	chr12	48766194	48789089	-
ADCY7	NM_001114.5	113	ENSG00000121281.13	ENST00000673801.1	chr16	50266551	50318135	+
ADCY8	NM_001115.3	114	ENSG00000155897.10	ENST00000286355.10	chr8	130780301	131040909	-
ADCY9	NM_001116.4	115	ENSG00000162104.10	ENST00000294016.8	chr16	3962653	4116442	-
ADCYAP1	NM_001099733.2	116	ENSG00000141433.13	ENST00000450565.8	chr18	904871	912172	+
ADCYAP1R1	NM_001118.5	117	ENSG00000078549.16	ENST00000304166.9	chr7	31052308	31111474	+
ADD1	NM_001354761.2	118	ENSG00000087274.19	ENST00000683351.1	chr4	2843844	2930062	+
ADD2	NM_001617.4	119	ENSG00000075340.23	ENST00000264436.9	chr2	70656784	70768200	-
ADD3	NM_016824.5	120	ENSG00000148700.15	ENST00000356080.9	chr10	110007984	110135565	+
PLIN2	NM_001122.4	123	ENSG00000147872.10	ENST00000276914.7	chr9	19115761	19127492	-
ADH1A	NM_000667.4	124	ENSG00000187758.8	ENST00000209668.3	chr4	99276369	99290985	-
ADH1B	NM_000668.6	125	ENSG00000196616.15	ENST00000305046.13	chr4	99304971	99321401	-
ADH1C	NM_000669.5	126	ENSG00000248144.6	ENST00000515683.6	chr4	99336497	99352746	-
ADH4	NM_000670.5	127	ENSG00000198099.10	ENST00000265512.12	chr4	99123658	99144297	-
ADH5	NM_000671.4	128	ENSG00000197894.12	ENST00000296412.14	chr4	99070978	99088788	-
ADH6	NM_001102470.2	130	ENSG00000172955.17	ENST00000394899.6	chr4	99202639	99219246	-
ADH7	NM_000673.7	131	ENSG00000196344.12	ENST00000437033.7	chr4	99412263	99435342	-
ADK	NM_006721.4	132	ENSG00000156110.15	ENST00000539909.6	chr10	74151221	74709290	+
ADM	NM_001124.3	133	ENSG00000148926.10	ENST00000278175.10	chr11	10305073	10307397	+
ADORA1	NM_000674.3	134	ENSG00000163485.18	ENST00000337894.9	chr1	203127726	203167405	+
ADORA2A	NM_000675.6	135	ENSG00000128271.22	ENST00000337539.12	chr22	24427599	24442357	+
ADORA2B	NM_000676.4	136	ENSG00000170425.4	ENST00000304222.3	chr17	15945130	15975746	+
ADORA3	NM_000677.4	140	ENSG00000282608.2	ENST00000241356.5	chr1	111499429	111503633	-
ADPRH	NM_001125.4	141	ENSG00000144843.12	ENST00000357003.8	chr3	119579492	119589945	+
PARP1	NM_001618.4	142	ENSG00000143799.14	ENST00000366794.10	chr1	226360691	226408093	-
PARP4	NM_006437.4	143	ENSG00000102699.6	ENST00000381989.4	chr13	24420931	24512778	-
ADRA1D	NM_000678.4	146	ENSG00000171873.8	ENST00000379453.6	chr20	4220630	4249287	-
ADRA1B	NM_000679.4	147	ENSG00000170214.5	ENST00000306675.5	chr5	159916482	159973012	+
ADRA1A	NM_000680.4	148	ENSG00000120907.18	ENST00000380573.4	chr8	26768809	26867278	-
ADRA2A	NM_000681.4	150	ENSG00000150594.7	ENST00000280155.4	chr10	111077029	111080907	+
ADRA2B	NM_000682.7	151	ENSG00000274286.2	ENST00000620793.2	chr2	96112876	96116571	-
ADRA2C	NM_000683.4	152	ENSG00000184160.8	ENST00000330055.7	chr4	3766385	3768526	+
ADRB1	NM_000684.3	153	ENSG00000043591.6	ENST00000369295.4	chr10	114043866	114046904	+
ADRB2	NM_000024.6	154	ENSG00000169252.6	ENST00000305988.6	chr5	148826611	148828623	+
ADRB3	NM_000025.3	155	ENSG00000188778.6	ENST00000345060.5	chr8	37962990	37966599	-
GRK2	NM_001619.5	156	ENSG00000173020.11	ENST00000308595.10	chr11	67266473	67286556	+
GRK3	NM_005160.4	157	ENSG00000100077.16	ENST00000324198.11	chr22	25564675	25729294	+
ADSL	NM_000026.4	158	ENSG00000239900.14	ENST00000623063.3	chr22	40346500	40369367	+
ADSS2	NM_001126.5	159	ENSG00000035687.10	ENST00000366535.4	chr1	244408494	244451909	-
AP2A1	NM_130787.3	160	ENSG00000196961.13	ENST00000354293.10	chr19	49767001	49807114	+
AP2A2	NM_012305.4	161	ENSG00000183020.15	ENST00000448903.7	chr11	925870	1012240	+
AP1B1	NM_001127.4	162	ENSG00000100280.17	ENST00000357586.7	chr22	29327680	29388570	-
AP2B1	NM_001030006.2	163	ENSG00000006125.18	ENST00000610402.5	chr17	35587322	35726413	+
AP1G1	NM_001128.6	164	ENSG00000166747.13	ENST00000299980.9	chr16	71729000	71808834	-
AEBP1	NM_001129.5	165	ENSG00000106624.11	ENST00000223357.8	chr7	44104345	44114560	+
TLE5	NM_001130.6	166	ENSG00000104964.15	ENST00000327141.9	chr19	3052910	3062495	-
CRISP1	NM_001131.3	167	ENSG00000124812.15	ENST00000335847.9	chr6	49834257	49866535	-
AFM	NM_001133.2	173	ENSG00000079557.5	ENST00000226355.5	chr4	73481745	73504001	+
AFP	NM_001134.3	174	ENSG00000081051.8	ENST00000395792.7	chr4	73436221	73456174	+
AGA	NM_000027.4	175	ENSG00000038002.9	ENST00000264595.7	chr4	177430774	177442437	-
ACAN	NM_001369268.1	176	ENSG00000157766.19	ENST00000560601.4	chr15	88803436	88875353	+
AGER	NM_001136.5	177	ENSG00000204305.16	ENST00000375076.9	chr6	32180969	32184253	-
AGL	NM_000642.3	178	ENSG00000162688.17	ENST00000361915.8	chr1	99850361	99924020	+
AGRP	NM_001138.2	181	ENSG00000159723.5	ENST00000290953.3	chr16	67482571	67483547	-
JAG1	NM_000214.3	182	ENSG00000101384.12	ENST00000254958.10	chr20	10637684	10673999	-
AGT	NM_001384479.1	183	ENSG00000135744.9	ENST00000366667.6	chr1	230702523	230714122	-
AGTR1	NM_000685.5	185	ENSG00000144891.19	ENST00000349243.8	chr3	148697903	148743003	+
AGTR2	NM_000686.5	186	ENSG00000180772.8	ENST00000371906.5	chr23	116170744	116174974	+
APLNR	NM_005161.6	187	ENSG00000134817.12	ENST00000606794.2	chr11	57233591	57237250	-
AGXT	NM_000030.3	189	ENSG00000172482.5	ENST00000307503.4	chr2	240868824	240880500	+
NR0B1	NM_000475.5	190	ENSG00000169297.8	ENST00000378970.5	chr23	30304206	30309390	-
AHCY	NM_000687.4	191	ENSG00000101444.13	ENST00000217426.7	chr20	34280268	34303355	-
AHR	NM_001621.5	196	ENSG00000106546.14	ENST00000242057.9	chr7	17298652	17346147	+
AHSG	NM_001622.4	197	ENSG00000145192.13	ENST00000411641.7	chr3	186613060	186621318	+
AIF1	NM_001623.5	199	ENSG00000204472.13	ENST00000376059.8	chr6	31615234	31617015	+
CRYBG1	NM_001371242.2	202	ENSG00000112297.18	ENST00000633556.3	chr6	106360717	106572017	+
AK1	NM_000476.3	203	ENSG00000106992.19	ENST00000644144.2	chr9	127866486	127877675	-
AK2	NM_001625.4	204	ENSG00000004455.18	ENST00000672715.1	chr1	33007986	33036883	-
AK4	NM_013410.4	205	ENSG00000162433.15	ENST00000327299.8	chr1	65148203	65232145	+
AKT1	NM_001382430.1	207	ENSG00000142208.19	ENST00000649815.2	chr14	104769349	104795748	-
AKT2	NM_001626.6	208	ENSG00000105221.18	ENST00000392038.7	chr19	40230317	40285345	-
ALAD	NM_000031.6	210	ENSG00000148218.16	ENST00000409155.8	chr9	113386312	113401284	-
ALAS1	NM_000688.6	211	ENSG00000023330.15	ENST00000484952.6	chr3	52198160	52214327	+
ALAS2	NM_000032.5	212	ENSG00000158578.21	ENST00000650242.1	chr23	55009055	55030977	-
ALB	NM_000477.7	213	ENSG00000163631.19	ENST00000295897.9	chr4	73404287	73421482	+
ALCAM	NM_001627.4	214	ENSG00000170017.12	ENST00000306107.9	chr3	105366909	105576900	+
ABCD1	NM_000033.4	215	ENSG00000101986.12	ENST00000218104.6	chr23	153724856	153744755	+
ALDH1A1	NM_000689.5	216	ENSG00000165092.13	ENST00000297785.8	chr9	72900671	72953053	-
ALDH2	NM_000690.4	217	ENSG00000111275.13	ENST00000261733.7	chr12	111766933	111817532	+
ALDH3A1	NM_000691.5	218	ENSG00000108602.18	ENST00000225740.11	chr17	19737989	19748298	-
ALDH1B1	NM_000692.5	219	ENSG00000137124.8	ENST00000377698.4	chr9	38392702	38398661	+
ALDH1A3	NM_000693.4	220	ENSG00000184254.18	ENST00000329841.10	chr15	100879831	100916626	+
ALDH3B1	NM_000694.4	221	ENSG00000006534.17	ENST00000342456.11	chr11	68010327	68029276	+
ALDH3B2	NM_001393402.2	222	ENSG00000132746.16	ENST00000673966.2	chr11	67662155	67674623	-
ALDH9A1	NM_000696.4	223	ENSG00000143149.13	ENST00000354775.5	chr1	165662216	165698562	-
ALDH3A2	NM_000382.3	224	ENSG00000072210.19	ENST00000176643.11	chr17	19648751	19677596	+
ABCD2	NM_005164.4	225	ENSG00000173208.4	ENST00000308666.4	chr12	39550033	39619803	-
ALDOA	NM_001243177.4	226	ENSG00000149925.22	ENST00000642816.3	chr16	30065760	30070414	+
ALDOB	NM_000035.4	229	ENSG00000136872.21	ENST00000647789.2	chr9	101420560	101435774	-
ALDOC	NM_005165.3	230	ENSG00000109107.14	ENST00000226253.9	chr17	28573120	28576895	-
AKR1B1	NM_001628.4	231	ENSG00000085662.14	ENST00000285930.9	chr7	134442356	134459100	-
ALK	NM_004304.5	238	ENSG00000171094.18	ENST00000389048.8	chr2	29192774	29921586	-
ALOX12	NM_000697.3	239	ENSG00000108839.12	ENST00000251535.11	chr17	6996049	7010754	+
ALOX5	NM_000698.5	240	ENSG00000012779.12	ENST00000374391.7	chr10	45374216	45446117	+
ALOX5AP	NM_001629.4	241	ENSG00000132965.10	ENST00000380490.5	chr13	30735543	30764426	+
ALOX12B	NM_001139.3	242	ENSG00000179477.11	ENST00000647874.1	chr17	8072636	8087716	-
ALOX15	NM_001140.5	246	ENSG00000161905.13	ENST00000293761.8	chr17	4630919	4641678	-
ALOX15B	NM_001141.3	247	ENSG00000179593.16	ENST00000380183.9	chr17	8039059	8049134	+
ALPI	NM_001631.5	248	ENSG00000163295.5	ENST00000295463.4	chr2	232456153	232460753	+
ALPL	NM_000478.6	249	ENSG00000162551.14	ENST00000374840.8	chr1	21509423	21578410	+
ALPP	NM_001632.5	250	ENSG00000163283.7	ENST00000392027.3	chr2	232378751	232382889	+
ALPG	NM_031313.3	251	ENSG00000163286.9	ENST00000295453.8	chr2	232406844	232410714	+
ALX3	NM_006492.3	257	ENSG00000156150.9	ENST00000647563.2	chr1	110059870	110070672	-
AMBN	NM_016519.6	258	ENSG00000178522.15	ENST00000322937.10	chr4	70592256	70607288	+
AMBP	NM_001633.4	259	ENSG00000106927.12	ENST00000265132.8	chr9	114060127	114078300	-
AMD1	NM_001634.6	262	ENSG00000123505.20	ENST00000368885.8	chr6	110874785	110895713	+
AMELX	NM_001142.2	265	ENSG00000125363.14	ENST00000380714.7	chr23	11293413	11300761	+
AMELY	NM_001143.2	266	ENSG00000099721.16	ENST00000651267.2	chr24	6865918	6911752	-
AMFR	NM_001144.6	267	ENSG00000159461.15	ENST00000290649.10	chr16	56361452	56425545	-
AMH	NM_000479.5	268	ENSG00000104899.8	ENST00000221496.5	chr19	2249323	2252073	+
AMHR2	NM_020547.3	269	ENSG00000135409.11	ENST00000257863.9	chr12	53423855	53431672	+
AMPD1	NM_000036.3	270	ENSG00000116748.22	ENST00000520113.7	chr1	114673098	114695546	-
AMPD2	NM_001368809.2	271	ENSG00000116337.20	ENST00000528667.7	chr1	109619837	109632051	+
AMPD3	NM_001025389.2	272	ENSG00000133805.16	ENST00000396553.7	chr11	10455264	10507579	+
AMPH	NM_001635.4	273	ENSG00000078053.17	ENST00000356264.7	chr7	38383704	38631373	-
BIN1	NM_139343.3	274	ENSG00000136717.15	ENST00000316724.10	chr2	127048032	127107154	-
AMT	NM_000481.4	275	ENSG00000145020.16	ENST00000273588.9	chr3	49416778	49422473	-
AMY1A	NM_004038.4	276	ENSG00000237763.10	ENST00000370083.9	chr1	103655760	103664554	+
AMY1B	NM_001008218.2	277	ENSG00000174876.17	ENST00000330330.10	chr1	103687415	103696210	-
AMY1C	NM_001008219.3	278	ENSG00000187733.7	ENST00000622339.5	chr1	103749898	103758692	+
AMY2A	NM_000699.4	279	ENSG00000243480.8	ENST00000414303.7	chr1	103617427	103625780	+
AMY2B	NM_001387437.1	280	ENSG00000240038.8	ENST00000684275.1	chr1	103571589	103579534	+
ANG	NM_001097577.3	283	ENSG00000214274.10	ENST00000397990.5	chr14	20688764	20694183	+
ANGPT1	NM_001146.5	284	ENSG00000154188.10	ENST00000517746.6	chr8	107249482	107497918	-
ANGPT2	NM_001118887.2	285	ENSG00000091879.14	ENST00000629816.3	chr8	6499632	6563245	-
ANK1	NM_000037.4	286	ENSG00000029534.22	ENST00000289734.13	chr8	41653225	41797622	-
ANK2	NM_001148.6	287	ENSG00000145362.21	ENST00000357077.9	chr4	113049653	113383736	+
ANK3	NM_020987.5	288	ENSG00000151150.22	ENST00000280772.7	chr10	60026298	60389875	-
ANPEP	NM_001150.3	290	ENSG00000166825.15	ENST00000300060.7	chr15	89784895	89814852	-
SLC25A4	NM_001151.4	291	ENSG00000151729.11	ENST00000281456.11	chr4	185143266	185150382	+
SLC25A5	NM_001152.5	292	ENSG00000005022.6	ENST00000317881.9	chr23	119468444	119471396	+
SLC25A6	NM_001636.4	293	ENSG00000169100.14	ENST00000381401.11	chr23	1386152	1392113	-
ANXA1	NM_000700.3	301	ENSG00000135046.15	ENST00000257497.11	chr9	73151865	73170393	+
ANXA2	NM_004039.3	302	ENSG00000182718.18	ENST00000451270.7	chr15	60347151	60397986	-
ANXA3	NM_005139.3	306	ENSG00000138772.13	ENST00000264908.11	chr4	78551770	78610447	+
ANXA4	NM_001153.5	307	ENSG00000196975.16	ENST00000394295.6	chr2	69742134	69827112	+
ANXA5	NM_001154.4	308	ENSG00000164111.15	ENST00000296511.10	chr4	121667946	121696980	-
ANXA6	NM_001155.5	309	ENSG00000197043.15	ENST00000354546.10	chr5	151100706	151157779	-
ANXA7	NM_001156.5	310	ENSG00000138279.16	ENST00000372921.10	chr10	73375101	73414058	-
ANXA11	NM_145868.2	311	ENSG00000122359.18	ENST00000422982.8	chr10	80150889	80205537	-
ANXA13	NM_004306.4	312	ENSG00000104537.17	ENST00000419625.6	chr8	123680794	123737393	-
AOAH	NM_001637.4	313	ENSG00000136250.13	ENST00000617537.5	chr7	36512941	36724494	-
AOC2	NM_009590.4	314	ENSG00000131480.9	ENST00000253799.8	chr17	42844580	42850707	+
AOX1	NM_001159.4	316	ENSG00000138356.14	ENST00000374700.7	chr2	200586014	200671495	+
APAF1	NM_181861.2	317	ENSG00000120868.15	ENST00000551964.6	chr12	98645290	98735433	+
NUDT2	NM_001161.5	318	ENSG00000164978.19	ENST00000379158.7	chr9	34329569	34343699	+
APOF	NM_001638.4	319	ENSG00000175336.10	ENST00000398189.4	chr12	56360568	56362857	-
APBA1	NM_001163.4	320	ENSG00000107282.9	ENST00000265381.7	chr9	69427532	69672371	-
APBA2	NM_001353788.2	321	ENSG00000034053.15	ENST00000683413.1	chr15	28885974	29118315	+
APBB1	NM_001164.5	322	ENSG00000166313.20	ENST00000609360.6	chr11	6395125	6419094	-
APBB2	NM_004307.2	323	ENSG00000163697.18	ENST00000508593.6	chr4	40810027	41214542	-
APC	NM_000038.6	324	ENSG00000134982.19	ENST00000257430.9	chr5	112737885	112846239	+
APCS	NM_001639.4	325	ENSG00000132703.4	ENST00000255040.3	chr1	159587826	159588865	+
AIRE	NM_000383.4	326	ENSG00000160224.17	ENST00000291582.6	chr21	44285876	44298648	+
APEH	NM_001640.4	327	ENSG00000164062.13	ENST00000296456.10	chr3	49674351	49683971	+
APEX1	NM_001641.4	328	ENSG00000100823.12	ENST00000216714.8	chr14	20455226	20457767	+
BIRC2	NM_001166.5	329	ENSG00000110330.10	ENST00000227758.7	chr11	102347214	102378670	+
BIRC3	NM_001165.5	330	ENSG00000023445.17	ENST00000263464.9	chr11	102317484	102339403	+
XIAP	NM_001167.4	331	ENSG00000101966.14	ENST00000371199.8	chr23	123860053	123913972	+
BIRC5	NM_001168.3	332	ENSG00000089685.15	ENST00000350051.8	chr17	78214253	78225635	+
APLP1	NM_001024807.3	333	ENSG00000105290.14	ENST00000221891.9	chr19	35868574	35879792	+
APLP2	NM_001142276.2	334	ENSG00000084234.18	ENST00000338167.10	chr11	130069894	130144805	+
APOA1	NM_000039.3	335	ENSG00000118137.10	ENST00000236850.5	chr11	116835751	116837622	-
APOA2	NM_001643.2	336	ENSG00000158874.12	ENST00000367990.7	chr1	161222292	161223628	-
APOA4	NM_000482.4	337	ENSG00000110244.7	ENST00000357780.5	chr11	116820700	116823304	-
APOB	NM_000384.3	338	ENSG00000084674.15	ENST00000233242.5	chr2	21001429	21044073	-
APOBEC1	NM_001644.5	339	ENSG00000111701.7	ENST00000229304.5	chr12	7649400	7665908	-
APOC1	NM_001645.5	341	ENSG00000130208.10	ENST00000592535.6	chr19	44914608	44919346	+
AQP8	NM_001169.3	343	ENSG00000103375.11	ENST00000219660.6	chr16	25216947	25228932	+
APOC2	NM_000483.5	344	ENSG00000234906.11	ENST00000252490.7	chr19	44946051	44949565	+
APOC3	NM_000040.3	345	ENSG00000110245.12	ENST00000227667.8	chr11	116829907	116833072	+
APOC4	NM_001646.3	346	ENSG00000267467.4	ENST00000592954.2	chr19	44942237	44945496	+
APOD	NM_001647.4	347	ENSG00000189058.9	ENST00000343267.8	chr3	195568705	195583940	-
APOE	NM_000041.4	348	ENSG00000130203.10	ENST00000252486.9	chr19	44905796	44909393	+
APOH	NM_000042.3	350	ENSG00000091583.11	ENST00000205948.11	chr17	66212033	66229415	-
APP	NM_000484.4	351	ENSG00000142192.22	ENST00000346798.8	chr21	25880550	26170770	-
APRT	NM_000485.3	353	ENSG00000198931.11	ENST00000378364.8	chr16	88809339	88811928	-
KLK3	NM_001648.2	354	ENSG00000142515.16	ENST00000326003.7	chr19	50854915	50860764	+
FAS	NM_000043.6	355	ENSG00000026103.25	ENST00000652046.1	chr10	88990798	89017059	+
FASLG	NM_000639.3	356	ENSG00000117560.8	ENST00000367721.3	chr1	172659103	172666876	+
SHROOM2	NM_001649.4	357	ENSG00000146950.13	ENST00000380913.8	chr23	9786429	9949443	+
AQP1	NM_198098.4	358	ENSG00000240583.14	ENST00000311813.11	chr7	30911853	30925516	+
AQP2	NM_000486.6	359	ENSG00000167580.8	ENST00000199280.4	chr12	49950737	49958878	+
AQP3	NM_004925.5	360	ENSG00000165272.16	ENST00000297991.6	chr9	33441160	33447593	-
AQP4	NM_001650.7	361	ENSG00000171885.18	ENST00000383168.9	chr18	26852043	26865707	-
AQP5	NM_001651.4	362	ENSG00000161798.7	ENST00000293599.7	chr12	49961872	49965682	+
AQP6	NM_001652.4	363	ENSG00000086159.14	ENST00000315520.10	chr12	49972947	49977139	+
AQP7	NM_001170.3	364	ENSG00000165269.13	ENST00000297988.6	chr9	33383191	33402568	-
AQP9	NM_020980.5	366	ENSG00000103569.11	ENST00000219919.9	chr15	58138381	58185911	+
AR	NM_000044.6	367	ENSG00000169083.18	ENST00000374690.9	chr23	67544021	67730619	+
ABCC6	NM_001171.6	368	ENSG00000091262.17	ENST00000205557.12	chr16	16149565	16223494	-
ARAF	NM_001654.5	369	ENSG00000078061.14	ENST00000377045.9	chr23	47561205	47571908	+
ARCN1	NM_001655.5	372	ENSG00000095139.15	ENST00000264028.5	chr11	118572409	118603033	+
TRIM23	NM_001656.4	373	ENSG00000113595.15	ENST00000231524.14	chr5	65589690	65624333	-
AREG	NM_001657.4	374	ENSG00000109321.11	ENST00000395748.8	chr4	74445136	74455005	+
ARF1	NM_001658.4	375	ENSG00000143761.17	ENST00000272102.10	chr1	228082708	228099212	+
ARF3	NM_001659.3	377	ENSG00000134287.10	ENST00000256682.9	chr12	48935723	48957487	-
ARF4	NM_001660.4	378	ENSG00000168374.11	ENST00000303436.11	chr3	57571363	57597344	-
ARL4D	NM_001661.4	379	ENSG00000175906.5	ENST00000320033.5	chr17	43398993	43401137	+
ARF5	NM_001662.4	381	ENSG00000004059.11	ENST00000000233.10	chr7	127588411	127591700	+
ARF6	NM_001663.4	382	ENSG00000165527.8	ENST00000298316.7	chr14	49893082	49897054	+
ARG1	NM_000045.4	383	ENSG00000118520.16	ENST00000368087.8	chr6	131573226	131584329	+
ARG2	NM_001172.4	384	ENSG00000081181.8	ENST00000261783.4	chr14	67619920	67651708	+
